date,SPY,AMZN,JPM,PFE,TSLA,WMT,BA,PEP,MRO,DPZ,SPY
2017-10-05,0.045791,0.008861068,-0.001752468,0.001388007,0.004352614,-0.005176591,-0.001198283,-0.000452843,-0.024062105,-0.003062754,0.045791163
2017-10-06,0.029542,0.001423833,-0.00527593,0.00249311,-0.039844116,0.019182121,-0.000735051,-0.003538972,0.002211469,0.001994406,0.02954154
2017-10-09,-0.047295,-0.00383177,0.007440391,0.007168714,0.036222865,0.043733331,0.009782142,0.00697494,0.00294109,0.017532274,-0.047294621
2017-10-10,-0.024076,0.007870064,-0.002990405,0.001372799,-0.00278796,0.018839741,0.001952645,0.006568024,0.004395556,-0.000955386,-0.024076486
2017-10-11,-0.029544,0.00594213,-0.008815955,-0.002747486,0.003041113,0.004306664,0.001796119,0.008394625,-0.004395556,-0.040027661,-0.029543861
2017-10-12,0.007057,0.002006079,-0.001355115,-0.000275372,-0.000309371,0.006021289,-0.004477249,0.001510523,0.009499431,-0.040867712,0.007057155
2017-10-13,0.030851,0.00338434,0.02044462,-0.009955426,-0.014076092,-0.010211471,-0.003803917,0.008400151,0.007246574,0.001087727,0.03085107
2017-10-16,0.053117,0.002768587,-0.002250993,0.006095813,0.01458225,0.002795404,-0.004360064,-0.012225742,0.007910892,-0.004773656,0.053116981
2017-10-17,0.001687,-0.012093142,0.003782917,-0.010273653,0.010903071,0.002787409,0.00547576,-0.002141569,-0.013703713,-0.023576421,0.001686693
2017-10-18,-0.071992,-0.010475865,0.001223863,0.0113779,-0.022040079,0.002085716,-0.003852889,0.006410915,-0.002181153,-0.008932729,-0.07199176
2017-10-19,0.015833,-0.003757306,0.014168985,0.004954838,-0.019257071,0.01196481,0.021803485,-0.009452585,0.013733507,-5.33E-05,0.0158329
2017-10-20,-0.034947,-0.017043235,-0.001710078,-0.000549415,-0.023691926,0.013743011,-0.009220851,0.000716806,-0.021771654,-0.018876001,-0.034947335
2017-10-23,0.026818,0.009885757,0.015779855,-0.003577743,0.000949093,-0.007586105,0.013931133,-0.008451988,0.005852381,0.006603536,0.026817849
2017-10-24,-0.021584,-0.003068501,0.000990303,-0.003037674,-0.034684905,0.005667105,-0.028910133,-0.006158849,-0.01691854,0.01033589,-0.021584186
2017-10-25,0.031771,-0.000493528,0.007102056,-0.01168286,0.001012285,0.001580702,0.003283933,0.005978434,0.005917156,-0.000377021,0.03177123
2017-10-26,-0.004445,0.124130688,0.000294732,-0.003924886,-0.016382614,-0.005090599,-0.0108974,-0.001174808,0.018268793,-0.005400267,-0.004444525
2017-10-27,0.054052,0.008952026,-0.003543112,-0.012721064,-0.00246517,-0.013933857,0.010820286,-0.008626785,0.025028085,-0.016267495,0.054052028
2017-10-30,-0.00105,-0.005026792,-0.007920413,-0.002563669,0.035147354,0.00413208,-0.004910901,0.005275729,0.004228433,0.007129321,-0.001049502
2017-10-31,-0.052382,-0.001448682,0.003076433,0.005688171,-0.032027943,0.007189668,0.002013625,-0.000907617,0.044696403,-0.031924949,-0.052381512
2017-11-01,-0.015891,-0.008608252,0.006617111,0.005656246,-0.070377583,0.009731899,0.015850421,-0.000726806,0.037615591,0.004727775,-0.015890791
